"","state","congress","party","theoretical","actual","num_elected_state","num_districts","x","mean_elected_district","sign","simple_efficiency_gap","census","seat_advantage"
"1","Alabama","18","DR",0.511582012293756,1,3,3,0.505791006146878,1,1,0.333333333333333,4,1
"2","Alabama","20","D",0.898887810045017,1,3,3,0.699443905022509,1,1,0,4,0
"3","Alabama","21","D",0.627495666688066,1,3,3,0.563747833344033,1,1,0.333333333333333,4,1
"4","Alabama","21","NR",0,0,3,3,0.127174680618861,1,-1,0,4,0
"5","Alabama","22","D",1,0.666666666666667,3,3,0.796369899311076,1,-1,-0.333333333333333,4,-1
"6","Alabama","22","NR",0,0,3,3,0.203630100688924,1,-1,0,4,0
"7","Alabama","23","D",0.838227134992104,1,5,5,0.669113567496052,1,1,0,5,0
"8","Alabama","23","NR",0,0,5,5,0.0863386112415176,1,-1,0,5,0
"9","Alabama","24","D",0.847772894104853,0.8,5,5,0.673886447052427,1,-1,0,5,0
"10","Alabama","24","W",0,0,5,5,0.18786533146042,1,-1,0,5,0
"11","Alabama","25","D",0.659150817720586,0.6,5,5,0.579575408860293,1,-1,0,5,0
"12","Alabama","25","W",0.255760891131204,0.4,5,5,0.377880445565602,1,1,0,5,0
"13","Alabama","26","D",0.720929591442907,0.6,5,5,0.610464795721453,1,-1,0,5,0
"14","Alabama","26","W",0.279070408557093,0.4,5,5,0.389535204278547,1,1,0,5,0
"15","Alabama","27","D",0.642616510361706,1,5,1,0.571308255180853,5,1,0.2,5,1
"16","Alabama","27","W",0.357383489638294,0,5,1,0.428691744819147,5,-1,-0.2,5,-1
"17","Alabama","28","D",0.643931710615281,0.714285714285714,7,7,0.57196585530764,1,1,0,6,0
"18","Alabama","28","W",0.338319810682894,0.285714285714286,7,7,0.419159905341447,1,-1,0,6,0
"19","Alabama","29","D",1,0.857142857142857,7,7,0.780662994995079,1,-1,-0.142857142857143,6,-1
"20","Alabama","29","W",0,0.142857142857143,7,7,0.210793039180784,1,1,0.142857142857143,6,1
"21","Alabama","30","D",0.976901946955214,0.714285714285714,7,7,0.738450973477607,1,-1,-0.142857142857143,6,-1
"22","Alabama","30","W",0,0.285714285714286,7,7,0.219102062027877,1,1,0.285714285714286,6,2
"23","Alabama","31","D",0.372532619605219,0.714285714285714,7,7,0.43626630980261,1,1,0.285714285714286,6,2
"24","Alabama","31","W",0.453641613452223,0.285714285714286,7,7,0.476820806726112,1,-1,-0.142857142857143,6,-1
"25","Alabama","33","D",0,0.142857142857143,7,7,0.218545174142141,1,1,0.142857142857143,7,1
"26","Alabama","33","W",0,0,7,7,0.0444833568950006,1,-1,0,7,0
"27","Alabama","34","A",0.370550739768934,0.285714285714286,7,7,0.435275369884467,1,-1,0,7,0
