,congress,type,year,election_dates,state,district,runoff,trial,num_elected,name,party,votes,percentage,result,incumbent,old_vote_share,clean_name
0,1,StandardElections,1788-1789,"Dec. 22, 1788",Connecticut,AtLarge,False,1,5,Benjamin Huntington,,,,won,False,,BenjaminHuntington
1,1,StandardElections,1788-1789,"Dec. 22, 1788",Connecticut,AtLarge,False,1,5,Roger Sherman Jonathan Sturges,,,,won,False,,RogerShermanJonathanSturges
2,1,StandardElections,1788-1789,"Dec. 22, 1788",Connecticut,AtLarge,False,1,5,Jonathan Trumbull,,,,won,False,,JonathanTrumbull
3,1,StandardElections,1788-1789,"Dec. 22, 1788",Connecticut,AtLarge,False,1,5,Jeremiah Wadsworth,,,,won,False,,JeremiahWadsworth
4,1,StandardElections,1788-1789,"Dec. 22, 1788",Connecticut,AtLarge,False,1,5,John Chester,,,,won,False,,JohnChester
5,1,StandardElections,1788-1789,"Dec. 22, 1788",Connecticut,AtLarge,False,1,5,James Hillhouse,,,,lost,False,,JamesHillhouse
6,1,StandardElections,1788-1789,"Dec. 22, 1788",Connecticut,AtLarge,False,1,5,Stephen M. Mitchell,,,,lost,False,,StephenMMitchell
7,1,StandardElections,1788-1789,"Dec. 22, 1788",Connecticut,AtLarge,False,1,5,Jesse Root,,,,lost,False,,JesseRoot
8,1,StandardElections,1788-1789,"Dec. 22, 1788",Connecticut,AtLarge,False,1,5,Jedediah Strong,,,,lost,False,,JedediahStrong
9,1,StandardElections,1788-1789,"Dec. 22, 1788",Connecticut,AtLarge,False,1,5,John Treadwell,,,,lost,False,,JohnTreadwell
10,1,StandardElections,1788-1789,"Dec. 22, 1788",Connecticut,AtLarge,False,1,5,Erastus Wolcott,,,,lost,False,,ErastusWolcott
11,1,StandardElections,1788-1789,"Jan.7, 1789",Delaware,Single,False,1,1,John Vining,,898.0,43.61,won,False,,JohnVining
12,1,StandardElections,1788-1789,"Jan.7, 1789",Delaware,Single,False,1,1,Rhoads Shankland,,491.0,23.85,lost,False,,RhoadsShankland
13,1,StandardElections,1788-1789,"Jan.7, 1789",Delaware,Single,False,1,1,Gunning Bedford,,308.0,14.96,lost,False,,GunningBedford
14,1,StandardElections,1788-1789,"Jan.7, 1789",Delaware,Single,False,1,1,Joshua Clayton,,272.0,13.21,lost,False,,JoshuaClayton
15,1,StandardElections,1788-1789,"Jan.7, 1789",Delaware,Single,False,1,1,Allen McLane,,90.0,4.37,lost,False,,AllenMcLane
16,1,StandardElections,1788-1789,"Feb.9, 1789",Georgia,AtLargeLowerDistrict,False,1,1,James Jackson,,604.0,50.88,won,False,,JamesJackson
17,1,StandardElections,1788-1789,"Feb.9, 1789",Georgia,AtLargeLowerDistrict,False,1,1,William Houston,,399.0,33.61,lost,False,,WilliamHouston
18,1,StandardElections,1788-1789,"Feb.9, 1789",Georgia,AtLargeLowerDistrict,False,1,1,Henry Osborne,,172.0,14.49,lost,False,,HenryOsborne
19,1,StandardElections,1788-1789,"Feb.9, 1789",Georgia,AtLargeLowerDistrict,False,1,1,scattering,,12.0,1.01,lost,False,,scattering
20,1,StandardElections,1788-1789,"Feb.9, 1789",Georgia,AtLargeMiddleDistrict,False,1,1,Abraham Baldwin,,1096.0,69.19,won,False,,AbrahamBaldwin
21,1,StandardElections,1788-1789,"Feb.9, 1789",Georgia,AtLargeMiddleDistrict,False,1,1,Henry Osborne,,241.0,15.21,lost,False,,HenryOsborne
22,1,StandardElections,1788-1789,"Feb.9, 1789",Georgia,AtLargeMiddleDistrict,False,1,1,Joseph Sumner,,165.0,10.42,lost,False,,JosephSumner
23,1,StandardElections,1788-1789,"Feb.9, 1789",Georgia,AtLargeMiddleDistrict,False,1,1,scattering,,82.0,5.18,lost,False,,scattering
24,1,StandardElections,1788-1789,"Feb.9, 1789",Georgia,AtLargeUpperDistrict,False,1,1,George Matthews,,1158.0,96.26,won,False,,GeorgeMatthews
25,1,StandardElections,1788-1789,"Feb.9, 1789",Georgia,AtLargeUpperDistrict,False,1,1,Henry Osborne,,24.0,2.0,lost,False,,HenryOsborne
26,1,StandardElections,1788-1789,"Feb.9, 1789",Georgia,AtLargeUpperDistrict,False,1,1,scattering,,21.0,1.75,lost,False,,scattering
27,1,StandardElections,1788-1789,"Jan. 7-11, 1789",Maryland,AtLarge1stDistrict,False,1,1,Michael J. Stone,f,5154.0,65.33,won,False,,MichaelJStone
28,1,StandardElections,1788-1789,"Jan. 7-11, 1789",Maryland,AtLarge1stDistrict,False,1,1,George Dent,a-f,2731.0,34.67,lost,False,,GeorgeDent
29,1,StandardElections,1788-1789,"Jan. 7-11, 1789",Maryland,AtLarge2ndDistrict,False,1,1,Joshua Seney,,7616.0,100.0,won,False,,JoshuaSeney
